"지역별(1)","시점","도착출발별(1)",운항 (편),여객 (명),화물 (톤)
"중국","2006.04","도착",2178,297286,19928
"중국","2006.04","출발",2167,277739,12407
"중국","2006.05","도착",2303,294322,18107
"중국","2006.05","출발",2299,296053,12173
"중국","2006.06","도착",2268,291558,19669
"중국","2006.06","출발",2274,291037,11783
"중국","2006.07","도착",2349,333947,21011
"중국","2006.07","출발",2363,335554,12770
"중국","2006.08","도착",2717,391656,24057
"중국","2006.08","출발",2737,380716,14361
"중국","2006.09","도착",2807,337055,25530
"중국","2006.09","출발",2827,320358,14920
"중국","2006.10","도착",3025,362924,25528
"중국","2006.10","출발",3033,362961,14418
"중국","2006.11","도착",3008,316579,25850
"중국","2006.11","출발",3025,312674,14340
"중국","2006.12","도착",3223,281199,22798
"중국","2006.12","출발",3237,290438,14189
"중국","2007.01","도착",3381,366897,22325
"중국","2007.01","출발",3399,355910,14835
"중국","2007.02","도착",3018,351977,22299
"중국","2007.02","출발",3046,347642,14047
"중국","2007.03","도착",3285,362478,28038
"중국","2007.03","출발",3315,366391,17060
"중국","2007.04","도착",3367,389650,26644
"중국","2007.04","출발",3415,364188,16375
"중국","2007.05","도착",3474,392502,26726
"중국","2007.05","출발",3502,411235,16388
"중국","2007.06","도착",3430,392345,27285
"중국","2007.06","출발",3472,389338,16957
"중국","2007.07","도착",3640,443225,27838
"중국","2007.07","출발",3684,441084,18012
"중국","2007.08","도착",3719,496525,29955
"중국","2007.08","출발",3772,471624,18976
"중국","2007.09","도착",3488,411537,29362
"중국","2007.09","출발",3499,365497,18450
"중국","2007.10","도착",3495,410777,29078
"중국","2007.10","출발",3509,425200,19816
"중국","2007.11","도착",3332,381020,29652
"중국","2007.11","출발",3360,368727,18705
"중국","2007.12","도착",3482,340128,25569
"중국","2007.12","출발",3508,339017,19014
"중국","2008.01","도착",3578,442192,26924
"중국","2008.01","출발",3608,405955,19777
"중국","2008.02","도착",3251,370889,22935
"중국","2008.02","출발",3270,396280,18217
"중국","2008.03","도착",3418,362567,28848
"중국","2008.03","출발",3427,329091,19647
"중국","2008.04","도착",3423,366955,28189
"중국","2008.04","출발",3420,361311,19025
"중국","2008.05","도착",3622,377974,25370
"중국","2008.05","출발",3636,370685,19828
"중국","2008.06","도착",3213,309036,24308
"중국","2008.06","출발",3231,307096,21414
"중국","2008.07","도착",3285,335443,26088
"중국","2008.07","출발",3304,327031,19730
"중국","2008.08","도착",3311,337437,26702
"중국","2008.08","출발",3324,328672,18933
"중국","2008.09","도착",3056,306877,26766
"중국","2008.09","출발",3062,278087,17787
"중국","2008.10","도착",3193,319443,24972
"중국","2008.10","출발",3206,344652,19593
"중국","2008.11","도착",2906,256116,22873
"중국","2008.11","출발",2917,255566,15795
"중국","2008.12","도착",2703,209866,18871
"중국","2008.12","출발",2709,233445,14139
"중국","2009.01","도착",2809,308763,20300
