"시점", 선행종합지수(2020=100), 재고순환지표(%p), 경제심리지수, 기계류내수출하지수(선박제외)(2020=100), 건설수주액(실질)(십억원),수출입물가비율(2015=100),코스피(1980.1.4=100), 장단기금리차(%p), 동행종합지수(2020=100), 광공업생산지수(2020=100), 서비스업생산지수(도소매업제외)(2020=100), 건설기성액(실질)(십억원), 소매판매액지수(2020=100), 내수출하지수(2020=100), 수입액(실질)(백만불), 비농림어업취업자수(천명), 후행종합지수(2020=100), 생산자제품재고지수(2020=100), 소비자물가지수변화율(서비스), 소비재수입액(실질)(백만불), 취업자수(천명), CP유통수익률(%p)
"1983.08",13.6,-,-,-,-,-,-,-,14.1,-,-,-,-,-,-,-,13.9,-,-,-,-,-
"1983.09",13.7,-,-,-,-,-,-,-,14.2,-,-,-,-,-,-,-,13.9,-,-,-,-,-
"1983.10",13.8,-,-,-,-,-,-,-,14.3,-,-,-,-,-,-,-,14.0,-,-,-,-,-
"1983.11",13.9,-,-,-,-,-,-,-,14.4,-,-,-,-,-,-,-,14.1,-,-,-,-,-
"1983.12",14.0,-,-,-,-,-,-,-,14.5,-,-,-,-,-,-,-,14.1,-,-,-,-,-
"1984.01",14.1,-,-,-,-,-,-,-,14.6,-,-,-,-,-,-,-,14.2,-,-,-,-,-
"1984.02",14.1,-,-,-,-,-,-,-,14.7,-,-,-,-,-,-,-,14.3,-,-,-,-,-
"1984.03",14.2,-,-,-,-,-,-,-,14.8,-,-,-,-,-,-,-,14.4,-,-,-,-,-
"1984.04",14.3,-,-,-,-,-,-,-,14.9,-,-,-,-,-,-,-,14.5,-,-,-,-,-
"1984.05",14.5,-,-,-,-,-,-,-,15.0,-,-,-,-,-,-,-,14.6,-,-,-,-,-
"1984.06",14.5,-,-,-,-,-,-,-,15.1,-,-,-,-,-,-,-,14.7,-,-,-,-,-
"1984.07",14.6,-,-,-,-,-,-,-,15.1,-,-,-,-,-,-,-,14.8,-,-,-,-,-
"1984.08",14.7,-,-,-,-,-,-,-,15.2,-,-,-,-,-,-,-,14.9,-,-,-,-,-
"1984.09",14.7,-,-,-,-,-,-,-,15.2,-,-,-,-,-,-,-,15.1,-,-,-,-,-
"1984.10",14.8,-,-,-,-,-,-,-,15.2,-,-,-,-,-,-,-,15.2,-,-,-,-,-
"1984.11",15.0,-,-,-,-,-,-,-,15.2,-,-,-,-,-,-,-,15.3,-,-,-,-,-
"1984.12",15.2,-,-,-,-,-,-,-,15.3,-,-,-,-,-,-,-,15.3,-,-,-,-,-
"1985.01",15.2,-,-,-,-,-,-,-,15.3,-,-,-,-,-,-,-,15.4,-,-,-,-,-
"1985.02",15.3,-,-,-,-,-,-,-,15.4,-,-,-,-,-,-,-,15.5,-,-,-,-,-
"1985.03",15.4,-,-,-,-,-,-,-,15.5,-,-,-,-,-,-,-,15.5,-,-,-,-,-
"1985.04",15.6,-,-,-,-,-,-,-,15.6,-,-,-,-,-,-,-,15.7,-,-,-,-,-
"1985.05",15.6,-,-,-,-,-,-,-,15.8,-,-,-,-,-,-,-,15.8,-,-,-,-,-
"1985.06",15.7,-,-,-,-,-,-,-,15.9,-,-,-,-,-,-,-,15.9,-,-,-,-,-
"1985.07",15.8,-,-,-,-,-,-,-,16.0,-,-,-,-,-,-,-,15.9,-,-,-,-,-
"1985.08",16.0,-,-,-,-,-,-,-,16.0,-,-,-,-,-,-,-,16.0,-,-,-,-,-
"1985.09",16.1,-,-,-,-,-,-,-,16.1,-,-,-,-,-,-,-,16.1,-,-,-,-,-
"1985.10",16.2,-,-,-,-,-,-,-,16.2,-,-,-,-,-,-,-,16.2,-,-,-,-,-
"1985.11",16.3,-,-,-,-,-,-,-,16.4,-,-,-,-,-,-,-,16.2,-,-,-,-,-
"1985.12",16.5,-,-,-,-,-,-,-,16.6,-,-,-,-,-,-,-,16.3,-,-,-,-,-
"1986.01",16.6,-,-,-,-,-,-,-,16.7,-,-,-,-,-,-,-,16.4,-,-,-,-,-
"1986.02",16.7,-,-,-,-,-,-,-,16.8,-,-,-,-,-,-,-,16.6,-,-,-,-,-
"1986.03",16.9,-,-,-,-,-,-,-,16.9,-,-,-,-,-,-,-,16.7,-,-,-,-,-
"1986.04",17.1,-,-,-,-,-,-,-,17.1,-,-,-,-,-,-,-,16.8,-,-,-,-,-
"1986.05",17.2,-,-,-,-,-,-,-,17.4,-,-,-,-,-,-,-,16.9,-,-,-,-,-
"1986.06",17.4,-,-,-,-,-,-,-,17.6,-,-,-,-,-,-,-,16.9,-,-,-,-,-
"1986.07",17.5,-,-,-,-,-,-,-,17.7,-,-,-,-,-,-,-,17.0,-,-,-,-,-
"1986.08",17.6,-,-,-,-,-,-,-,17.9,-,-,-,-,-,-,-,17.1,-,-,-,-,-
"1986.09",17.8,-,-,-,-,-,-,-,18.0,-,-,-,-,-,-,-,17.2,-,-,-,-,-
"1986.10",17.9,-,-,-,-,-,-,-,18.1,-,-,-,-,-,-,-,17.3,-,-,-,-,-
"1986.11",18.0,-,-,-,-,-,-,-,18.2,-,-,-,-,-,-,-,17.4,-,-,-,-,-
"1986.12",18.1,-,-,-,-,-,-,-,18.3,-,-,-,-,-,-,-,17.5,-,-,-,-,-
"1987.01",18.2,-,-,-,-,-,-,-,18.4,-,-,-,-,-,-,-,17.7,-,-,-,-,-
"1987.02",18.4,-,-,-,-,-,-,-,18.6,-,-,-,-,-,-,-,17.9,-,-,-,-,-
"1987.03",18.5,-,-,-,-,-,-,-,18.8,-,-,-,-,-,-,-,18.1,-,-,-,-,-
"1987.04",18.6,-,-,-,-,-,-,-,19.0,-,-,-,-,-,-,-,18.2,-,-,-,-,-
"1987.05",18.7,-,-,-,-,-,-,-,19.3,-,-,-,-,-,-,-,18.4,-,-,-,-,-
"1987.06",18.8,-,-,-,-,-,-,-,19.5,-,-,-,-,-,-,-,18.5,-,-,-,-,-
"1987.07",19.0,-,-,-,-,-,-,-,19.7,-,-,-,-,-,-,-,18.5,-,-,-,-,-
"1987.08",19.1,-,-,-,-,-,-,-,19.6,-,-,-,-,-,-,-,18.6,-,-,-,-,-
"1987.09",19.3,-,-,-,-,-,-,-,19.6,-,-,-,-,-,-,-,18.6,-,-,-,-,-
"1987.10",19.4,-,-,-,-,-,-,-,19.8,-,-,-,-,-,-,-,18.7,-,-,-,-,-
"1987.11",19.6,-,-,-,-,-,-,-,20.2,-,-,-,-,-,-,-,18.8,-,-,-,-,-
"1987.12",19.8,-,-,-,-,-,-,-,20.4,-,-,-,-,-,-,-,19.0,-,-,-,-,-
"1988.01",19.9,-,-,-,-,-,-,-,20.6,-,-,-,-,-,-,-,19.2,-,-,-,-,-
"1988.02",20.1,-,-,-,-,-,-,-,20.7,-,-,-,-,-,-,-,19.4,-,-,-,-,-
