대여소,상태,주소,위도,경도,구
한전아트센터 앞,운영중,서울특별시 서초구 효령로72길 60 한전아트센터 앞,37.486469,127.028061,서초구
영등포구청역 1번출구,운영중,서울특별시 영등포구 당산로 111-2 영등포구청역 1번출구,37.524635,126.896217,영등포구
현대고등학교 건너편,운영중,서울특별시 강남구 압구정로 134 현대고등학교 건너편,37.524071,127.02179,강남구
교보타워 버스정류장(신논현역 3번출구 후면),운영중,서울특별시 강남구 봉은사로 지하 102 교보타워 버스정류장,37.505581,127.024277,강남구
논현역 7번출구,운영중,서울특별시 강남구 학동로 지하 102 논현역 7번출구,37.511517,127.021477,강남구
신영 ROYAL PALACE 앞,운영중,서울특별시 강남구 언주로 626 신영 ROYAL PALACE앞,37.512527,127.035835,강남구
MCM 본사 직영점 앞,운영중,서울특별시 강남구 언주로 734 MCM 본사 직영점 앞,37.520641,127.034508,강남구
압구정역 2번 출구 옆,운영중,서울특별시 강남구 압구정로 지하 172 압구정역 2번 출구 옆,37.527122,127.028717,강남구
압구정 한양 3차 아파트,운영중,서울특별시 강남구 압구정로 321 압구정 한양 3차 아파트,37.52861400000001,127.038559,강남구
압구정파출소 앞,운영중,서울특별시 강남구 압구정로 311 압구정파출소 앞,37.529301,127.035599,강남구
청담역(우리들병원 앞),운영중,서울특별시 강남구 학동로 443 강남구 청담동 77-76 (학동로 443 앞 도로),37.518902,127.04938500000002,강남구
남부고용노동지청 남측,운영중,서울특별시 영등포구 양평동1가 115-2 남부고용노동지청 남측,37.524506,126.891823,영등포구
청담동 맥도날드 옆(위치),운영중,서울특별시 강남구 학동로 지하 508 청담동 맥도날드 옆,37.523613,127.040176,강남구
학동로 래미안 아파트 앞,운영중,서울특별시 강남구 학동로 지하 508 학동로 래미안 아파트 앞,37.517773,127.043022,강남구
청담역 13번 출구 앞,운영중,서울특별시 강남구 영동대로 703 청담역 13번 출구 앞,37.52058,127.056328,강남구
금원빌딩 앞,운영중,서울특별시 강남구 도산대로 539 금원빌딩,37.525116,127.052467,강남구
청담나들목입구,운영중,서울특별시 강남구 영동대로128길 59 청담나들목입구,37.521275,127.061035,강남구
봉은사역 5번출구 옆,운영중,서울특별시 강남구 봉은사로 지하 601 봉은사역 5번출구 옆,37.514248,127.061119,강남구
삼성도로공원,운영중,서울특별시 강남구 영동대로112길 66 삼성도로공원,37.515888,127.0662,강남구
